provinsi,tahun,bulan,inflasi
Aceh,2024,1,3.23
Aceh,2024,2,3.46
Aceh,2024,3,3.0
Aceh,2024,4,3.19
Aceh,2024,5,3.07
Aceh,2024,6,2.63
Aceh,2024,7,2.75
Aceh,2024,8,2.81
Aceh,2024,9,3.08
Aceh,2024,10,3.15
Aceh,2024,11,3.22
Aceh,2024,12,3.18
Sumatera Utara,2024,1,2.89
Sumatera Utara,2024,2,3.12
Sumatera Utara,2024,3,2.76
Sumatera Utara,2024,4,2.95
Sumatera Utara,2024,5,2.83
Sumatera Utara,2024,6,2.39
Sumatera Utara,2024,7,2.51
Sumatera Utara,2024,8,2.57
Sumatera Utara,2024,9,2.84
Sumatera Utara,2024,10,2.91
Sumatera Utara,2024,11,2.98
Sumatera Utara,2024,12,2.94
Sumatera Barat,2024,1,2.67
Sumatera Barat,2024,2,2.90
Sumatera Barat,2024,3,2.54
Sumatera Barat,2024,4,2.73
Sumatera Barat,2024,5,2.61
Sumatera Barat,2024,6,2.17
Sumatera Barat,2024,7,2.29
Sumatera Barat,2024,8,2.35
Sumatera Barat,2024,9,2.62
Sumatera Barat,2024,10,2.69
Sumatera Barat,2024,11,2.76
Sumatera Barat,2024,12,2.72
Riau,2024,1,2.45
Riau,2024,2,2.68
Riau,2024,3,2.32
Riau,2024,4,2.51
Riau,2024,5,2.39
Riau,2024,6,1.95
Riau,2024,7,2.07
Riau,2024,8,2.13
Riau,2024,9,2.40
Riau,2024,10,2.47
Riau,2024,11,2.54
Riau,2024,12,2.50
Jambi,2024,1,2.78
Jambi,2024,2,3.01
Jambi,2024,3,2.65
Jambi,2024,4,2.84
Jambi,2024,5,2.72
Jambi,2024,6,2.28
Jambi,2024,7,2.40
Jambi,2024,8,2.46
Jambi,2024,9,2.73
Jambi,2024,10,2.80
Jambi,2024,11,2.87
Jambi,2024,12,2.83
Bengkulu,2024,1,2.56
Bengkulu,2024,2,2.79
Bengkulu,2024,3,2.43
Bengkulu,2024,4,2.62
Bengkulu,2024,5,2.50
Bengkulu,2024,6,2.06
Bengkulu,2024,7,2.18
Bengkulu,2024,8,2.24
Bengkulu,2024,9,2.51
Bengkulu,2024,10,2.58
Bengkulu,2024,11,2.65
Bengkulu,2024,12,2.61
Lampung,2024,1,2.34
Lampung,2024,2,2.57
Lampung,2024,3,2.21
Lampung,2024,4,2.40
Lampung,2024,5,2.28
Lampung,2024,6,1.84
Lampung,2024,7,1.96
Lampung,2024,8,2.02
Lampung,2024,9,2.29
Lampung,2024,10,2.36
Lampung,2024,11,2.43
Lampung,2024,12,2.39
DKI Jakarta,2024,1,2.91
DKI Jakarta,2024,2,3.14
DKI Jakarta,2024,3,2.78
DKI Jakarta,2024,4,2.97
DKI Jakarta,2024,5,2.85
DKI Jakarta,2024,6,2.41
DKI Jakarta,2024,7,2.53
DKI Jakarta,2024,8,2.59
DKI Jakarta,2024,9,2.86
DKI Jakarta,2024,10,2.93
DKI Jakarta,2024,11,3.00
DKI Jakarta,2024,12,2.96
Jawa Barat,2024,1,2.67
Jawa Barat,2024,2,2.90
Jawa Barat,2024,3,2.54
Jawa Barat,2024,4,2.73
Jawa Barat,2024,5,2.61
Jawa Barat,2024,6,2.17
Jawa Barat,2024,7,2.29
Jawa Barat,2024,8,2.35
Jawa Barat,2024,9,2.62
Jawa Barat,2024,10,2.69
Jawa Barat,2024,11,2.76
Jawa Barat,2024,12,2.72
Jawa Tengah,2024,1,2.45
Jawa Tengah,2024,2,2.68
Jawa Tengah,2024,3,2.32
Jawa Tengah,2024,4,2.51
Jawa Tengah,2024,5,2.39
Jawa Tengah,2024,6,1.95
Jawa Tengah,2024,7,2.07
Jawa Tengah,2024,8,2.13
Jawa Tengah,2024,9,2.40
Jawa Tengah,2024,10,2.47
Jawa Tengah,2024,11,2.54
Jawa Tengah,2024,12,2.50
DI Yogyakarta,2024,1,2.89
DI Yogyakarta,2024,2,3.12
DI Yogyakarta,2024,3,2.76
DI Yogyakarta,2024,4,2.95
DI Yogyakarta,2024,5,2.83
DI Yogyakarta,2024,6,2.39
DI Yogyakarta,2024,7,2.51
DI Yogyakarta,2024,8,2.57
DI Yogyakarta,2024,9,2.84
DI Yogyakarta,2024,10,2.91
DI Yogyakarta,2024,11,2.98
DI Yogyakarta,2024,12,2.94
Jawa Timur,2024,1,2.56
Jawa Timur,2024,2,2.79
Jawa Timur,2024,3,2.43
Jawa Timur,2024,4,2.62
Jawa Timur,2024,5,2.50
Jawa Timur,2024,6,2.06
Jawa Timur,2024,7,2.18
Jawa Timur,2024,8,2.24
Jawa Timur,2024,9,2.51
Jawa Timur,2024,10,2.58
Jawa Timur,2024,11,2.65
Jawa Timur,2024,12,2.61
Banten,2024,1,2.78
Banten,2024,2,3.01
Banten,2024,3,2.65
Banten,2024,4,2.84
Banten,2024,5,2.72
Banten,2024,6,2.28
Banten,2024,7,2.40
Banten,2024,8,2.46
Banten,2024,9,2.73
Banten,2024,10,2.80
Banten,2024,11,2.87
Banten,2024,12,2.83
Bali,2024,1,3.12
Bali,2024,2,3.35
Bali,2024,3,2.99
Bali,2024,4,3.18
Bali,2024,5,3.06
Bali,2024,6,2.62
Bali,2024,7,2.74
Bali,2024,8,2.80
Bali,2024,9,3.07
Bali,2024,10,3.14
Bali,2024,11,3.21
Bali,2024,12,3.17
Nusa Tenggara Barat,2024,1,2.89
Nusa Tenggara Barat,2024,2,3.12
Nusa Tenggara Barat,2024,3,2.76
Nusa Tenggara Barat,2024,4,2.95
Nusa Tenggara Barat,2024,5,2.83
Nusa Tenggara Barat,2024,6,2.39
Nusa Tenggara Barat,2024,7,2.51
Nusa Tenggara Barat,2024,8,2.57
Nusa Tenggara Barat,2024,9,2.84
Nusa Tenggara Barat,2024,10,2.91
Nusa Tenggara Barat,2024,11,2.98
Nusa Tenggara Barat,2024,12,2.94
Nusa Tenggara Timur,2024,1,2.67
Nusa Tenggara Timur,2024,2,2.90
Nusa Tenggara Timur,2024,3,2.54
Nusa Tenggara Timur,2024,4,2.73
Nusa Tenggara Timur,2024,5,2.61
Nusa Tenggara Timur,2024,6,2.17
Nusa Tenggara Timur,2024,7,2.29
Nusa Tenggara Timur,2024,8,2.35
Nusa Tenggara Timur,2024,9,2.62
Nusa Tenggara Timur,2024,10,2.69
Nusa Tenggara Timur,2024,11,2.76
Nusa Tenggara Timur,2024,12,2.72
Kalimantan Barat,2024,1,2.45
Kalimantan Barat,2024,2,2.68
Kalimantan Barat,2024,3,2.32
Kalimantan Barat,2024,4,2.51
Kalimantan Barat,2024,5,2.39
Kalimantan Barat,2024,6,1.95
Kalimantan Barat,2024,7,2.07
Kalimantan Barat,2024,8,2.13
Kalimantan Barat,2024,9,2.40
Kalimantan Barat,2024,10,2.47
Kalimantan Barat,2024,11,2.54
Kalimantan Barat,2024,12,2.50
Kalimantan Tengah,2024,1,2.78
Kalimantan Tengah,2024,2,3.01
Kalimantan Tengah,2024,3,2.65
Kalimantan Tengah,2024,4,2.84
Kalimantan Tengah,2024,5,2.72
Kalimantan Tengah,2024,6,2.28
Kalimantan Tengah,2024,7,2.40
Kalimantan Tengah,2024,8,2.46
Kalimantan Tengah,2024,9,2.73
Kalimantan Tengah,2024,10,2.80
Kalimantan Tengah,2024,11,2.87
Kalimantan Tengah,2024,12,2.83
Kalimantan Selatan,2024,1,2.56
Kalimantan Selatan,2024,2,2.79
Kalimantan Selatan,2024,3,2.43
Kalimantan Selatan,2024,4,2.62
Kalimantan Selatan,2024,5,2.50
Kalimantan Selatan,2024,6,2.06
Kalimantan Selatan,2024,7,2.18
Kalimantan Selatan,2024,8,2.24
Kalimantan Selatan,2024,9,2.51
Kalimantan Selatan,2024,10,2.58
Kalimantan Selatan,2024,11,2.65
Kalimantan Selatan,2024,12,2.61
Kalimantan Timur,2024,1,2.34
Kalimantan Timur,2024,2,2.57
Kalimantan Timur,2024,3,2.21
Kalimantan Timur,2024,4,2.40
Kalimantan Timur,2024,5,2.28
Kalimantan Timur,2024,6,1.84
Kalimantan Timur,2024,7,1.96
Kalimantan Timur,2024,8,2.02
Kalimantan Timur,2024,9,2.29
Kalimantan Timur,2024,10,2.36
Kalimantan Timur,2024,11,2.43
Kalimantan Timur,2024,12,2.39
Sulawesi Utara,2024,1,2.67
Sulawesi Utara,2024,2,2.90
Sulawesi Utara,2024,3,2.54
Sulawesi Utara,2024,4,2.73
Sulawesi Utara,2024,5,2.61
Sulawesi Utara,2024,6,2.17
Sulawesi Utara,2024,7,2.29
Sulawesi Utara,2024,8,2.35
Sulawesi Utara,2024,9,2.62
Sulawesi Utara,2024,10,2.69
Sulawesi Utara,2024,11,2.76
Sulawesi Utara,2024,12,2.72
Sulawesi Tengah,2024,1,2.45
Sulawesi Tengah,2024,2,2.68
Sulawesi Tengah,2024,3,2.32
Sulawesi Tengah,2024,4,2.51
Sulawesi Tengah,2024,5,2.39
Sulawesi Tengah,2024,6,1.95
Sulawesi Tengah,2024,7,2.07
Sulawesi Tengah,2024,8,2.13
Sulawesi Tengah,2024,9,2.40
Sulawesi Tengah,2024,10,2.47
Sulawesi Tengah,2024,11,2.54
Sulawesi Tengah,2024,12,2.50
Sulawesi Selatan,2024,1,2.78
Sulawesi Selatan,2024,2,3.01
Sulawesi Selatan,2024,3,2.65
Sulawesi Selatan,2024,4,2.84
Sulawesi Selatan,2024,5,2.72
Sulawesi Selatan,2024,6,2.28
Sulawesi Selatan,2024,7,2.40
Sulawesi Selatan,2024,8,2.46
Sulawesi Selatan,2024,9,2.73
Sulawesi Selatan,2024,10,2.80
Sulawesi Selatan,2024,11,2.87
Sulawesi Selatan,2024,12,2.83
Sulawesi Tenggara,2024,1,2.56
Sulawesi Tenggara,2024,2,2.79
Sulawesi Tenggara,2024,3,2.43
Sulawesi Tenggara,2024,4,2.62
Sulawesi Tenggara,2024,5,2.50
Sulawesi Tenggara,2024,6,2.06
Sulawesi Tenggara,2024,7,2.18
Sulawesi Tenggara,2024,8,2.24
Sulawesi Tenggara,2024,9,2.51
Sulawesi Tenggara,2024,10,2.58
Sulawesi Tenggara,2024,11,2.65
Sulawesi Tenggara,2024,12,2.61
Gorontalo,2024,1,2.89
Gorontalo,2024,2,3.12
Gorontalo,2024,3,2.76
Gorontalo,2024,4,2.95
Gorontalo,2024,5,2.83
Gorontalo,2024,6,2.39
Gorontalo,2024,7,2.51
Gorontalo,2024,8,2.57
Gorontalo,2024,9,2.84
Gorontalo,2024,10,2.91
Gorontalo,2024,11,2.98
Gorontalo,2024,12,2.94
Sulawesi Barat,2024,1,2.67
Sulawesi Barat,2024,2,2.90
Sulawesi Barat,2024,3,2.54
Sulawesi Barat,2024,4,2.73
Sulawesi Barat,2024,5,2.61
Sulawesi Barat,2024,6,2.17
Sulawesi Barat,2024,7,2.29
Sulawesi Barat,2024,8,2.35
Sulawesi Barat,2024,9,2.62
Sulawesi Barat,2024,10,2.69
Sulawesi Barat,2024,11,2.76
Sulawesi Barat,2024,12,2.72
Maluku,2024,1,2.45
Maluku,2024,2,2.68
Maluku,2024,3,2.32
Maluku,2024,4,2.51
Maluku,2024,5,2.39
Maluku,2024,6,1.95
Maluku,2024,7,2.07
Maluku,2024,8,2.13
Maluku,2024,9,2.40
Maluku,2024,10,2.47
Maluku,2024,11,2.54
Maluku,2024,12,2.50
Maluku Utara,2024,1,2.78
Maluku Utara,2024,2,3.01
Maluku Utara,2024,3,2.65
Maluku Utara,2024,4,2.84
Maluku Utara,2024,5,2.72
Maluku Utara,2024,6,2.28
Maluku Utara,2024,7,2.40
Maluku Utara,2024,8,2.46
Maluku Utara,2024,9,2.73
Maluku Utara,2024,10,2.80
Maluku Utara,2024,11,2.87
Maluku Utara,2024,12,2.83
Papua,2024,1,2.56
Papua,2024,2,2.79
Papua,2024,3,2.43
Papua,2024,4,2.62
Papua,2024,5,2.50
Papua,2024,6,2.06
Papua,2024,7,2.18
Papua,2024,8,2.24
Papua,2024,9,2.51
Papua,2024,10,2.58
Papua,2024,11,2.65
Papua,2024,12,2.61
